Mh	DMP	CrossSection_fb	~h2->e1,E1,~h1	~h2->e2,E2,~h1	~h2->e3,E3,~h1	~h-->N1,e1,~h1	~h-->N2,e2,~h1	~h-->N3,e3,~h1	~h+->n1,E1,~h1	~h+->n2,E2,~h1	~h+->n3,E3,~h1
10	10	1.670900e+02	9.990800e-08	9.990200e-08	9.535600e-08	NaN	NaN	NaN	NaN	NaN	NaN
10	100	4.463200e+01	7.949200e-03	7.971500e-03	7.949300e-03	NaN	NaN	NaN	NaN	NaN	NaN
10	110	3.934800e+01	1.527900e-02	1.543500e-02	1.527200e-02	NaN	NaN	NaN	NaN	NaN	NaN
10	120	3.486700e+01	2.470000e-02	2.460500e-02	2.474300e-02	NaN	NaN	NaN	NaN	NaN	NaN
10	20	1.416000e+02	7.036000e-07	7.038600e-07	6.891000e-07	NaN	NaN	NaN	NaN	NaN	NaN
10	30	1.201600e+02	2.834300e-06	2.834700e-06	2.797700e-06	NaN	NaN	NaN	NaN	NaN	NaN
10	40	1.028200e+02	8.525500e-06	8.532200e-06	8.442700e-06	NaN	NaN	NaN	NaN	NaN	NaN
10	50	8.850800e+01	2.170100e-05	2.172400e-05	2.154700e-05	NaN	NaN	NaN	NaN	NaN	NaN
10	60	7.635300e+01	5.049900e-05	5.050600e-05	5.019200e-05	NaN	NaN	NaN	NaN	NaN	NaN
10	70	6.635300e+01	1.158700e-04	1.158200e-04	1.151700e-04	NaN	NaN	NaN	NaN	NaN	NaN
10	80	5.791500e+01	3.331400e-04	3.330600e-04	3.316900e-04	NaN	NaN	NaN	NaN	NaN	NaN
10	90	5.066800e+01	2.748700e-03	2.746800e-03	2.736400e-03	NaN	NaN	NaN	NaN	NaN	NaN
110	10	1.675800e+02	9.986000e-08	9.986600e-08	9.538400e-08	NaN	NaN	NaN	NaN	NaN	NaN
110	100	4.464800e+01	7.975700e-03	7.977600e-03	7.917800e-03	NaN	NaN	NaN	NaN	NaN	NaN
110	110	3.935400e+01	1.530200e-02	1.527900e-02	1.525900e-02	NaN	NaN	NaN	NaN	NaN	NaN
110	120	3.482400e+01	2.448300e-02	2.435600e-02	2.466700e-02	NaN	NaN	NaN	NaN	NaN	NaN
110	20	1.414100e+02	7.037500e-07	7.038500e-07	6.891200e-07	NaN	NaN	NaN	NaN	NaN	NaN
110	30	1.201700e+02	2.833200e-06	2.834600e-06	2.797300e-06	NaN	NaN	NaN	NaN	NaN	NaN
110	40	1.026900e+02	8.526500e-06	8.533800e-06	8.446200e-06	NaN	NaN	NaN	NaN	NaN	NaN
110	50	8.836500e+01	2.171100e-05	2.170000e-05	2.154200e-05	NaN	NaN	NaN	NaN	NaN	NaN
110	60	7.646600e+01	5.044600e-05	5.049400e-05	5.023600e-05	NaN	NaN	NaN	NaN	NaN	NaN
110	70	6.636900e+01	1.158700e-04	1.157300e-04	1.152200e-04	NaN	NaN	NaN	NaN	NaN	NaN
110	80	5.776100e+01	3.332900e-04	3.331200e-04	3.317300e-04	NaN	NaN	NaN	NaN	NaN	NaN
110	90	5.063800e+01	2.744100e-03	2.740900e-03	2.739700e-03	NaN	NaN	NaN	NaN	NaN	NaN
120	10	1.673600e+02	9.986400e-08	9.975100e-08	9.543100e-08	NaN	NaN	NaN	NaN	NaN	NaN
120	100	4.460100e+01	7.955200e-03	7.976500e-03	7.961500e-03	NaN	NaN	NaN	NaN	NaN	NaN
120	110	3.934900e+01	1.528800e-02	1.533400e-02	1.528400e-02	NaN	NaN	NaN	NaN	NaN	NaN
120	120	3.480200e+01	2.478300e-02	2.461700e-02	2.445400e-02	NaN	NaN	NaN	NaN	NaN	NaN
120	20	1.414300e+02	7.034700e-07	7.040400e-07	6.889800e-07	NaN	NaN	NaN	NaN	NaN	NaN
120	30	1.201700e+02	2.834600e-06	2.835000e-06	2.797700e-06	NaN	NaN	NaN	NaN	NaN	NaN
120	40	1.028200e+02	8.527000e-06	8.529600e-06	8.450000e-06	NaN	NaN	NaN	NaN	NaN	NaN
120	50	8.835500e+01	2.171400e-05	2.169800e-05	2.154300e-05	NaN	NaN	NaN	NaN	NaN	NaN
120	60	7.628900e+01	5.050700e-05	5.051500e-05	5.017500e-05	NaN	NaN	NaN	NaN	NaN	NaN
120	70	6.637300e+01	1.158000e-04	1.158600e-04	1.151400e-04	NaN	NaN	NaN	NaN	NaN	NaN
120	80	5.790300e+01	3.330400e-04	3.333200e-04	3.319300e-04	NaN	NaN	NaN	NaN	NaN	NaN
120	90	5.064600e+01	2.742900e-03	2.744700e-03	2.736500e-03	NaN	NaN	NaN	NaN	NaN	NaN
130	10	1.674900e+02	9.988800e-08	9.988500e-08	9.528400e-08	NaN	NaN	NaN	NaN	NaN	NaN
130	100	4.457400e+01	7.959800e-03	7.968100e-03	7.939000e-03	NaN	NaN	NaN	NaN	NaN	NaN
130	110	3.930300e+01	1.526600e-02	1.533600e-02	1.525900e-02	NaN	NaN	NaN	NaN	NaN	NaN
130	120	3.486500e+01	2.455800e-02	2.450000e-02	2.458700e-02	NaN	NaN	NaN	NaN	NaN	NaN
130	20	1.413000e+02	7.044200e-07	7.041300e-07	6.889600e-07	NaN	NaN	NaN	NaN	NaN	NaN
130	30	1.201700e+02	2.836700e-06	2.833600e-06	2.798400e-06	NaN	NaN	NaN	NaN	NaN	NaN
130	40	1.027400e+02	8.527500e-06	8.532600e-06	8.441200e-06	NaN	NaN	NaN	NaN	NaN	NaN
130	50	8.850500e+01	2.171000e-05	2.170000e-05	2.155900e-05	NaN	NaN	NaN	NaN	NaN	NaN
130	60	7.638400e+01	5.052900e-05	5.051800e-05	5.018500e-05	NaN	NaN	NaN	NaN	NaN	NaN
130	70	6.645300e+01	1.157400e-04	1.158200e-04	1.152400e-04	NaN	NaN	NaN	NaN	NaN	NaN
130	80	5.787600e+01	3.331400e-04	3.330700e-04	3.318800e-04	NaN	NaN	NaN	NaN	NaN	NaN
130	90	5.065100e+01	2.749400e-03	2.744800e-03	2.737600e-03	NaN	NaN	NaN	NaN	NaN	NaN
140	10	1.672500e+02	9.984400e-08	9.976300e-08	9.536000e-08	NaN	NaN	NaN	NaN	NaN	NaN
140	100	4.460800e+01	7.956900e-03	7.971900e-03	7.947500e-03	NaN	NaN	NaN	NaN	NaN	NaN
140	110	3.933200e+01	1.532300e-02	1.531700e-02	1.526200e-02	NaN	NaN	NaN	NaN	NaN	NaN
140	120	3.486700e+01	2.457600e-02	2.465000e-02	2.457900e-02	NaN	NaN	NaN	NaN	NaN	NaN
140	20	1.415300e+02	7.045400e-07	7.045100e-07	6.888600e-07	NaN	NaN	NaN	NaN	NaN	NaN
140	30	1.203000e+02	2.836000e-06	2.834900e-06	2.798500e-06	NaN	NaN	NaN	NaN	NaN	NaN
140	40	1.027200e+02	8.532400e-06	8.525200e-06	8.452600e-06	NaN	NaN	NaN	NaN	NaN	NaN
140	50	8.840700e+01	2.171700e-05	2.170100e-05	2.153900e-05	NaN	NaN	NaN	NaN	NaN	NaN
140	60	7.634500e+01	5.051200e-05	5.043600e-05	5.015000e-05	NaN	NaN	NaN	NaN	NaN	NaN
140	70	6.641900e+01	1.157200e-04	1.157200e-04	1.152400e-04	NaN	NaN	NaN	NaN	NaN	NaN
140	80	5.778300e+01	3.334000e-04	3.331700e-04	3.316500e-04	NaN	NaN	NaN	NaN	NaN	NaN
140	90	5.069100e+01	2.745200e-03	2.747900e-03	2.736000e-03	NaN	NaN	NaN	NaN	NaN	NaN
150	10	1.673500e+02	9.979200e-08	9.982400e-08	9.535200e-08	NaN	NaN	NaN	NaN	NaN	NaN
150	100	4.452700e+01	7.959800e-03	7.964700e-03	7.955500e-03	NaN	NaN	NaN	NaN	NaN	NaN
150	110	3.932900e+01	1.528800e-02	1.532600e-02	1.528200e-02	NaN	NaN	NaN	NaN	NaN	NaN
150	120	3.486100e+01	2.466200e-02	2.476300e-02	2.452800e-02	NaN	NaN	NaN	NaN	NaN	NaN
150	20	1.412700e+02	7.039700e-07	7.036000e-07	6.889100e-07	NaN	NaN	NaN	NaN	NaN	NaN
150	30	1.204400e+02	2.836200e-06	2.835900e-06	2.797200e-06	NaN	NaN	NaN	NaN	NaN	NaN
150	40	1.026700e+02	8.532600e-06	8.516900e-06	8.447600e-06	NaN	NaN	NaN	NaN	NaN	NaN
150	50	8.847800e+01	2.171500e-05	2.170400e-05	2.154700e-05	NaN	NaN	NaN	NaN	NaN	NaN
150	60	7.645600e+01	5.049300e-05	5.051200e-05	5.021400e-05	NaN	NaN	NaN	NaN	NaN	NaN
150	70	6.619200e+01	1.158200e-04	1.156700e-04	1.150900e-04	NaN	NaN	NaN	NaN	NaN	NaN
150	80	5.783100e+01	3.327900e-04	3.332200e-04	3.319500e-04	NaN	NaN	NaN	NaN	NaN	NaN
150	90	5.061000e+01	2.744400e-03	2.741900e-03	2.737900e-03	NaN	NaN	NaN	NaN	NaN	NaN
160	10	1.675400e+02	9.979800e-08	9.979100e-08	9.539400e-08	NaN	NaN	NaN	NaN	NaN	NaN
160	100	4.462500e+01	7.956400e-03	7.973900e-03	7.955900e-03	NaN	NaN	NaN	NaN	NaN	NaN
160	110	3.927400e+01	1.527100e-02	1.531100e-02	1.530000e-02	NaN	NaN	NaN	NaN	NaN	NaN
160	120	3.490200e+01	2.466100e-02	2.472500e-02	2.447800e-02	NaN	NaN	NaN	NaN	NaN	NaN
160	20	1.414000e+02	7.038300e-07	7.037900e-07	6.892700e-07	NaN	NaN	NaN	NaN	NaN	NaN
160	30	1.202500e+02	2.833900e-06	2.834900e-06	2.797300e-06	NaN	NaN	NaN	NaN	NaN	NaN
160	40	1.027100e+02	8.538200e-06	8.528000e-06	8.449800e-06	NaN	NaN	NaN	NaN	NaN	NaN
160	50	8.857500e+01	2.171000e-05	2.170400e-05	2.153400e-05	NaN	NaN	NaN	NaN	NaN	NaN
160	60	7.643400e+01	5.050900e-05	5.046900e-05	5.020600e-05	NaN	NaN	NaN	NaN	NaN	NaN
160	70	6.632500e+01	1.157100e-04	1.157100e-04	1.152400e-04	NaN	NaN	NaN	NaN	NaN	NaN
160	80	5.779600e+01	3.331000e-04	3.330000e-04	3.318600e-04	NaN	NaN	NaN	NaN	NaN	NaN
160	90	5.074600e+01	2.745900e-03	2.745800e-03	2.736300e-03	NaN	NaN	NaN	NaN	NaN	NaN
170	10	1.674200e+02	9.984700e-08	9.991300e-08	9.539300e-08	NaN	NaN	NaN	NaN	NaN	NaN
170	100	4.457500e+01	7.973400e-03	7.962500e-03	7.938200e-03	NaN	NaN	NaN	NaN	NaN	NaN
170	110	3.934600e+01	1.533700e-02	1.530900e-02	1.526700e-02	NaN	NaN	NaN	NaN	NaN	NaN
170	120	3.487200e+01	2.470000e-02	2.462200e-02	2.454700e-02	NaN	NaN	NaN	NaN	NaN	NaN
170	20	1.414000e+02	7.039600e-07	7.038400e-07	6.895900e-07	NaN	NaN	NaN	NaN	NaN	NaN
